,Latitude,Longitude
117,51.60432333,5.440596667
118,51.60432333,5.440596667
119,51.60432333,5.440596667
120,51.60432333,5.440596667
121,51.60432333,5.440596667
122,51.60432333,5.440596667
123,51.60432333,5.440596667
124,51.60432333,5.440596667
125,51.60432333,5.440596667
126,51.60432333,5.440596667
127,51.60432333,5.440596667
128,51.60432333,5.440596667
129,51.60432333,5.440596667
130,51.60432333,5.440596667
131,51.60432333,5.440596667
132,51.60432333,5.440596667
133,51.60432333,5.440596667
134,51.60432333,5.440596667
135,51.60432333,5.440596667
136,51.60432333,5.440596667
137,51.60432333,5.440596667
138,51.60432333,5.440596667
139,51.60432333,5.440596667
140,51.60432333,5.440596667
141,51.60432333,5.440596667
142,51.60432333,5.440596667
143,51.60432333,5.440596667
144,51.60432333,5.440596667
145,51.60432333,5.440596667
146,51.60432333,5.440596667
147,51.60432333,5.440596667
148,51.60432333,5.440596667
149,51.60432333,5.440596667
150,51.60432333,5.440596667
151,51.60432333,5.440596667
152,51.60432333,5.440596667
153,51.60432347,5.440595337
154,51.60432399,5.440590282
155,51.60432454,5.440585027
156,51.60432511,5.440579523
157,51.6043257,5.44057382
158,51.60432632,5.440567799
159,51.60432696,5.440561581
160,51.60432767,5.440554728
161,51.60432838,5.440547877
162,51.60432911,5.440540852
163,51.60432987,5.440533489
164,51.60433066,5.440525864
165,51.60433145,5.440518199
166,51.60433229,5.440510121
167,51.60433316,5.44050172
168,51.60433403,5.44049322
169,51.60433499,5.440483977
170,51.60433593,5.440474878
171,51.60433688,5.440465688
172,51.60433788,5.440456095
173,51.60433837,5.440450833
174,51.60433845,5.440449109
175,51.60433853,5.440447414
176,51.6043386,5.440445715
177,51.60433868,5.440443951
178,51.60433876,5.440442187
179,51.60433885,5.440440264
180,51.60474011,5.44006
181,51.6047407,5.44006
182,51.60474129,5.44006
183,51.6047419,5.440060178
184,51.60474251,5.440060659
185,51.60474317,5.440061167
186,51.60474381,5.440061671
187,51.60474453,5.440062228
188,51.60474522,5.440062764
189,51.60474593,5.440063313
190,51.60474666,5.440063882
191,51.60474738,5.440064441
192,51.60474813,5.44006503
193,51.60474888,5.440065609
194,51.60474965,5.44006621
195,51.60475042,5.440066809
196,51.60475123,5.440067437
197,51.60475204,5.440068071
198,51.60475288,5.440068718
199,51.60475371,5.440069369
200,51.60475466,5.440070106
201,51.60475557,5.440070813
202,51.6047565,5.440071536
203,51.60475724,5.440072611
204,51.60475795,5.440073773
205,51.60475869,5.440074979
206,51.60475943,5.44007619
207,51.6047602,5.44007745
208,51.60476097,5.440078711
209,51.60476177,5.440080021
210,51.60476257,5.440081332
211,51.60476341,5.440082697
212,51.60476427,5.440084107
213,51.6047652,5.440085634
214,51.60476614,5.440087176
215,51.60476709,5.440088727
216,51.60476811,5.440090389
217,51.60476915,5.440092097
218,51.60477023,5.440093856
219,51.60477135,5.440095689
220,51.60477258,5.440097706
221,51.6047738,5.440099706
222,51.60507562,5.4453924
223,51.6050755,5.4453941
224,51.60507538,5.445395928
225,51.60507525,5.445397875
226,51.60507511,5.445400077
227,51.60507497,5.445402176
228,51.60507484,5.445404278
229,51.60507471,5.445406481
230,51.60507457,5.445408794
231,51.60507442,5.445411233
232,51.60507427,5.445413745
233,51.6050741,5.445416517
234,51.60507393,5.445419295
235,51.60507376,5.445422145
236,51.60507358,5.445425129
237,51.60507339,5.445428173
238,51.60507319,5.445431556
239,51.60507299,5.445434887
240,51.60507279,5.445438208
241,51.60507257,5.445441754
242,51.60507235,5.445445335
243,51.60507212,5.445449259
244,51.60507188,5.445453111
245,51.60507169,5.445456847
